age_group,sex,freq_hz,mean_threshold
18-25,F,250,5
18-25,F,500,5
18-25,F,1000,5
18-25,F,2000,5
18-25,F,3000,5
18-25,F,4000,6
18-25,F,6000,8
18-25,F,8000,10
18-25,M,250,5
18-25,M,500,5
18-25,M,1000,5
18-25,M,2000,5
18-25,M,3000,6
18-25,M,4000,7
18-25,M,6000,10
18-25,M,8000,12
26-35,F,250,5
26-35,F,500,5
26-35,F,1000,5
26-35,F,2000,6
26-35,F,3000,7
26-35,F,4000,8
26-35,F,6000,11
26-35,F,8000,14
26-35,M,250,5
26-35,M,500,5
26-35,M,1000,6
26-35,M,2000,7
26-35,M,3000,8
26-35,M,4000,10
26-35,M,6000,14
26-35,M,8000,17
36-45,F,250,6
36-45,F,500,6
36-45,F,1000,6
36-45,F,2000,7
36-45,F,3000,9
36-45,F,4000,11
36-45,F,6000,15
36-45,F,8000,19
36-45,M,250,6
36-45,M,500,6
36-45,M,1000,7
36-45,M,2000,9
36-45,M,3000,11
36-45,M,4000,14
36-45,M,6000,19
36-45,M,8000,24
46-55,F,250,7
46-55,F,500,7
46-55,F,1000,7
46-55,F,2000,9
46-55,F,3000,12
46-55,F,4000,15
46-55,F,6000,21
46-55,F,8000,27
46-55,M,250,7
46-55,M,500,7
46-55,M,1000,9
46-55,M,2000,12
46-55,M,3000,16
46-55,M,4000,20
46-55,M,6000,27
46-55,M,8000,34
56-65,F,250,8
56-65,F,500,8
56-65,F,1000,9
56-65,F,2000,12
56-65,F,3000,16
56-65,F,4000,21
56-65,F,6000,30
56-65,F,8000,38
56-65,M,250,9
56-65,M,500,9
56-65,M,1000,11
56-65,M,2000,16
56-65,M,3000,22
56-65,M,4000,29
56-65,M,6000,40
56-65,M,8000,51
66+,F,250,10
66+,F,500,10
66+,F,1000,12
66+,F,2000,16
66+,F,3000,22
66+,F,4000,29
66+,F,6000,42
66+,F,8000,54
66+,M,250,11
66+,M,500,12
66+,M,1000,15
66+,M,2000,21
66+,M,3000,30
66+,M,4000,40
66+,M,6000,55
66+,M,8000,70
